turn_deg,half_angle_deg,max_speed,n_rollouts,bracket,monotone,a_lat_at_limit,tracking_err,saturation_lo,saturation_hi,alpha_roll,alpha_pitch,maneuverability_I
60.0,20.441448632198465,4.8125,8,ok,1,9.650065104166666,0.5717383544009682,0.21226874391431352,0.0,313.2869850093437,120.82495119552384,41.36825616063389
60.0,28.627632421465645,4.75,8,ok,1,9.401041666666666,0.5536253528976656,0.14106280193236714,0.0,233.06414540558657,128.80962653396494,41.36825616063388
60.0,36.813816210732824,4.75,8,ok,1,9.401041666666666,0.56392857944485,0.08200675349734685,0.0,187.93079126281688,140.9096570784202,41.36825616063389
60.0,45.0,4.6875,8,ok,1,9.155273437499998,0.5724006106583684,0.08739255014326648,0.0,159.93381326376127,158.94283955634995,41.368256160634246
60.0,53.18618378926718,4.625,8,ok,1,8.912760416666666,0.5810218020701239,0.12157048249763482,0.0,141.5966482024075,186.31999947958695,41.36825616063379
60.0,61.37236757853435,4.5625,8,ok,1,8.673502604166666,0.6148350028991737,0.20327102803738317,0.0,129.332806449886,229.98030420620708,41.368256160633905
60.0,69.55855136780154,4.5,8,ok,1,8.437499999999998,0.6150394222486246,0.19832791453785414,0.0,121.25594620946585,305.72726035867043,41.36825616063389
90.0,20.441448632198465,4.0,8,ok,1,9.428090415820634,0.6502176061852363,0.19045590115040478,0.0,313.2869850093437,120.82495119552384,41.36825616063389
90.0,28.627632421465645,4.0,8,ok,1,9.428090415820634,0.6778079196573438,0.16292848074481592,0.0,233.06414540558657,128.80962653396494,41.36825616063388
90.0,36.813816210732824,3.9375,8,ok,1,9.135764370212915,0.5856271622567875,0.07705263157894737,0.0,187.93079126281688,140.9096570784202,41.36825616063389
90.0,45.0,3.875,8,ok,1,8.848041884378544,0.4686313391408854,0.029350104821802937,0.0,159.93381326376127,158.94283955634995,41.368256160634246
90.0,53.18618378926718,3.8125,8,ok,1,8.564922958317524,0.5081148767103832,0.10830921868540719,0.0,141.5966482024075,186.31999947958695,41.36825616063379
90.0,61.37236757853435,3.75,8,ok,1,8.286407592029853,0.6154977437788218,0.1504424778761062,0.0,129.332806449886,229.98030420620708,41.368256160633905
90.0,69.55855136780154,3.6875,8,ok,1,8.012495785515533,0.5853294277428693,0.11556982343499198,0.0,121.25594620946585,305.72726035867043,41.36825616063389
120.0,20.441448632198465,3.5625,8,ok,1,9.159233518540498,0.4857319810334029,0.0381139489194499,0.0,313.2869850093437,120.82495119552384,41.36825616063389
120.0,28.627632421465645,3.625,8,ok,1,9.483429226337407,0.6260518802466528,0.12116443745082613,0.0,233.06414540558657,128.80962653396494,41.36825616063388
120.0,36.813816210732824,3.5625,8,ok,1,9.159233518540498,0.4362048263167949,0.005537974683544304,0.0,187.93079126281688,140.9096570784202,41.36825616063389
120.0,45.0,3.5625,8,ok,1,9.159233518540498,0.4807581493269015,0.010659297275957363,0.0,159.93381326376127,158.94283955634995,41.368256160634246
120.0,53.18618378926718,3.5,8,ok,1,8.840675996966144,0.49252108614819895,0.00858034321372855,0.0,141.5966482024075,186.31999947958695,41.36825616063379
120.0,61.37236757853435,3.4375,8,ok,1,8.527756661614346,0.5404194178007353,0.007302075326671791,0.0,129.332806449886,229.98030420620708,41.368256160633905
120.0,69.55855136780154,3.375,8,ok,1,8.220475512485102,0.6054639248200075,0.00680786686838124,0.0,121.25594620946585,305.72726035867043,41.36825616063389
