turn_deg,half_angle_deg,max_speed,n_rollouts,bracket,monotone,a_lat_at_limit,tracking_err,saturation_lo,saturation_hi,alpha_roll,alpha_pitch,maneuverability_I
60.0,20.441448632198465,9.890625,10,ok,1,40.76019287109374,0.5887315388446371,0.182648401826484,0.0060882800608828,313.2869850093437,120.82495119552384,41.36825616063389
60.0,28.627632421465645,10.0859375,10,ok,1,42.385889689127595,0.597113630816951,0.1753846153846154,0.006153846153846154,233.06414540558657,128.80962653396494,41.36825616063388
60.0,36.813816210732824,10.1640625,10,ok,1,43.045069376627595,0.5925052683002395,0.16833976833976835,0.007722007722007722,187.93079126281688,140.9096570784202,41.36825616063389
60.0,45.0,10.1640625,10,ok,1,43.045069376627595,0.5828018403651429,0.16383307573415765,0.008500772797527048,159.93381326376127,158.94283955634995,41.368256160634246
60.0,53.18618378926718,10.1640625,10,ok,1,43.045069376627595,0.5732142772066698,0.16383307573415765,0.010046367851622875,141.5966482024075,186.31999947958695,41.36825616063379
60.0,61.37236757853435,10.125,10,ok,1,42.71484374999999,0.5598100305644778,0.15895061728395063,0.010802469135802469,129.332806449886,229.98030420620708,41.368256160633905
60.0,69.55855136780154,9.9296875,10,ok,1,41.082789103190095,0.5350457268322446,0.15214067278287463,0.040519877675840976,121.25594620946585,305.72726035867043,41.36825616063389
90.0,20.441448632198465,7.9765625,10,ok,1,37.491714481958304,0.506081538697665,0.18792401628222524,0.07191316146540028,313.2869850093437,120.82495119552384,41.36825616063389
90.0,28.627632421465645,8.2890625,10,ok,1,40.48690555949409,0.5115692556146261,0.2023643949930459,0.06954102920723226,233.06414540558657,128.80962653396494,41.36825616063388
90.0,36.813816210732824,8.3671875,10,ok,1,41.253685984242686,0.5064138939286434,0.20041899441340782,0.040502793296089384,187.93079126281688,140.9096570784202,41.36825616063389
90.0,45.0,8.25,10,ok,1,40.10621274542449,0.4935804728640415,0.1864171864171864,0.03257103257103257,159.93381326376127,158.94283955634995,41.368256160634246
90.0,53.18618378926718,8.171875,10,ok,1,39.350221913894686,0.4877806532049695,0.17391304347826086,0.03450655624568668,141.5966482024075,186.31999947958695,41.36825616063379
90.0,61.37236757853435,8.015625,10,ok,1,37.85981943727265,0.4748722866410404,0.1590443686006826,0.030716723549488054,129.332806449886,229.98030420620708,41.368256160633905
90.0,69.55855136780154,7.859375,10,ok,1,36.39818920923405,0.464086189771636,0.13900134952766532,0.022267206477732792,121.25594620946585,305.72726035867043,41.36825616063389
120.0,20.441448632198465,6.6484375,10,ok,1,31.89984453562898,0.4725574940307928,0.18109756097560975,0.07560975609756097,313.2869850093437,120.82495119552384,41.36825616063389
120.0,28.627632421465645,6.609375,10,ok,1,31.526094456735397,0.4631597887796432,0.16201456310679613,0.0825242718446602,233.06414540558657,128.80962653396494,41.36825616063388
120.0,36.813816210732824,6.53125,10,ok,1,30.785201548427786,0.4551999798909932,0.13811821471652594,0.09650180940892641,187.93079126281688,140.9096570784202,41.36825616063389
120.0,45.0,6.4140625,10,ok,1,29.69038030966526,0.445395537064862,0.11402985074626866,0.11044776119402985,159.93381326376127,158.94283955634995,41.368256160634246
120.0,53.18618378926718,6.296875,10,ok,1,28.61538081934141,0.43182247095278015,0.08618654073199528,0.10212514757969303,141.5966482024075,186.31999947958695,41.36825616063379
120.0,61.37236757853435,6.21875,10,ok,1,27.90972657492477,0.4203980642522143,0.06498829039812647,0.08548009367681499,129.332806449886,229.98030420620708,41.368256160633905
120.0,69.55855136780154,6.1796875,10,ok,1,27.560203077456226,0.41998747335049763,0.02972027972027972,0.07400932400932402,121.25594620946585,305.72726035867043,41.36825616063389
