body,max_off_diagonal,diag_wn_min,diag_wn_max,matrix_wn_min,matrix_wn_max,I1,I2,I3,misalignment_deg
symmetric X quad (swept family),0.0,24.0,24.0,24.0,24.0,0.0017684985226242161,0.0017795247226242168,0.003512630466666667,0.0
arm 0 azimuth +30 deg,0.00021003919736604088,22.66391696310277,25.60426443519353,24.0,24.0,0.0013408297826241278,0.0022003520253616824,0.0035057965423474216,14.628709139550221
arm 0 lengthened to 0.26 m,0.0003095499003897791,22.403437108856576,25.995122659293024,23.999999999999996,24.0,0.0017875294995223915,0.002406728702658294,0.0041588634892489856,44.48983351401848
arm 0 elevated 15 deg (out of plane),0.00015088782793982927,22.946783244052646,24.995029276993648,23.999999999999996,24.0,0.001769583275972644,0.0018011117530978946,0.0034815414244839795,39.5355214312252
