turn_deg,half_angle_deg,max_speed,gate_speed_median
60.0,20.441448632198465,10.0859375,5.479528727532172
60.0,28.627632421465645,10.2421875,5.540174965804905
60.0,36.813816210732824,10.3984375,5.600305127318566
60.0,45.0,10.203125,5.525135596827514
60.0,53.18618378926718,10.046875,5.464356285554549
60.0,61.37236757853435,9.96875,5.433724825682846
60.0,69.55855136780154,10.0078125,5.44905374997128
90.0,20.441448632198465,5.5546875,2.8245363146187668
90.0,28.627632421465645,6.296875,3.126809864471544
90.0,36.813816210732824,6.9609375,3.386089612677888
90.0,45.0,8.25,3.8600524819632245
90.0,53.18618378926718,8.171875,3.832344626884094
90.0,61.37236757853435,8.1328125,3.8184257862327993
90.0,69.55855136780154,8.2109375,3.846207623969483
120.0,20.441448632198465,5.28125,1.916087345226448
120.0,28.627632421465645,6.375,2.233759531957267
120.0,36.813816210732824,6.21875,2.189695229484803
120.0,45.0,6.6875,2.3202213445307214
120.0,53.18618378926718,7.078125,2.426408131632432
120.0,61.37236757853435,7.078125,2.426408131632432
120.0,69.55855136780154,7.1171875,2.4368403390395024
