turn_deg,half_angle_deg,max_speed,n_rollouts,bracket,monotone,a_lat_at_limit,tracking_err,saturation_lo,saturation_hi,alpha_roll,alpha_pitch,maneuverability_I
60.0,20.441448632198465,10.0859375,10,ok,1,42.385889689127595,0.6053377864987372,0.2530769230769231,0.13538461538461538,313.2869850093437,120.82495119552384,41.36825616063389
60.0,28.627632421465645,10.2421875,10,ok,1,43.70933532714843,0.6006441160608749,0.23237800154918667,0.05034856700232378,233.06414540558657,128.80962653396494,41.36825616063388
60.0,36.813816210732824,10.3984375,10,ok,1,45.053126017252595,0.6365993841048023,0.20062451209992194,0.01405152224824356,187.93079126281688,140.9096570784202,41.36825616063389
60.0,45.0,10.203125,10,ok,1,43.37656656901041,0.6265192069300327,0.1691119691119691,0.008494208494208495,159.93381326376127,158.94283955634995,41.368256160634246
60.0,53.18618378926718,10.046875,10,ok,1,42.05820719401041,0.6223124200969459,0.15084226646248086,0.006891271056661562,141.5966482024075,186.31999947958695,41.36825616063379
60.0,61.37236757853435,9.96875,10,ok,1,41.40665690104166,0.6194932475030963,0.146991622239147,0.006854531607006854,129.332806449886,229.98030420620708,41.368256160633905
60.0,69.55855136780154,10.0078125,10,ok,1,41.73179626464843,0.6117148410717209,0.15267175572519084,0.0061068702290076335,121.25594620946585,305.72726035867043,41.36825616063389
90.0,20.441448632198465,5.5546875,10,ok,1,18.181219845184565,0.4065027982633707,0.13205537806176784,0.03780617678381257,313.2869850093437,120.82495119552384,41.36825616063389
90.0,28.627632421465645,6.296875,10,ok,1,23.364360600937093,0.343724534299489,0.217416715371128,0.12215078901227353,233.06414540558657,128.80962653396494,41.36825616063388
90.0,36.813816210732824,6.9609375,10,ok,1,28.55217684708443,0.4710246476309805,0.19924575738529227,0.16216216216216217,187.93079126281688,140.9096570784202,41.36825616063389
90.0,45.0,8.25,10,ok,1,40.10621274542449,0.5364905110369724,0.20608575380359612,0.006224066390041493,159.93381326376127,158.94283955634995,41.368256160634246
90.0,53.18618378926718,8.171875,10,ok,1,39.350221913894686,0.5326187015025846,0.16907216494845362,0.004123711340206186,141.5966482024075,186.31999947958695,41.36825616063379
90.0,61.37236757853435,8.1328125,10,ok,1,38.97492389643448,0.5245696376792118,0.13904109589041097,0.00410958904109589,129.332806449886,229.98030420620708,41.368256160633905
90.0,69.55855136780154,8.2109375,10,ok,1,39.72731819689136,0.5260328955835859,0.14669421487603307,0.004132231404958678,121.25594620946585,305.72726035867043,41.36825616063389
120.0,20.441448632198465,5.28125,10,ok,1,20.129029587798954,0.3803375463356521,0.1660631143300569,0.10036213140196586,313.2869850093437,120.82495119552384,41.36825616063389
120.0,28.627632421465645,6.375,10,ok,1,29.329844729730794,0.5288009878476533,0.2603448275862069,0.26436781609195403,233.06414540558657,128.80962653396494,41.36825616063388
120.0,36.813816210732824,6.21875,10,ok,1,27.90972657492477,0.42461906019440754,0.1960210649502633,0.16266822703335285,187.93079126281688,140.9096570784202,41.36825616063389
120.0,45.0,6.6875,10,ok,1,32.27579703101575,0.456468680717696,0.1744186046511628,0.12239902080783353,159.93381326376127,158.94283955634995,41.368256160634246
120.0,53.18618378926718,7.078125,10,ok,1,36.15645489200864,0.49596371040806914,0.14412136536030343,0.006321112515802781,141.5966482024075,186.31999947958695,41.36825616063379
120.0,61.37236757853435,7.078125,10,ok,1,36.15645489200864,0.49017775242125644,0.10752688172043011,0.005060088551549652,129.332806449886,229.98030420620708,41.368256160633905
120.0,69.55855136780154,7.1171875,10,ok,1,36.55663396882045,0.4851747321415078,0.09206349206349207,0.005079365079365079,121.25594620946585,305.72726035867043,41.36825616063389
