turn_deg,half_angle_deg,max_speed,n_rollouts,bracket,monotone,a_lat_at_limit,tracking_err,saturation_lo,saturation_hi,alpha_roll,alpha_pitch,maneuverability_I
60.0,20.441448632198465,10.98046875,10,ok,1,50.23778915405273,0.7040306868213755,0.20514883346741755,0.006436041834271922,313.2869850093437,120.82495119552384,41.36825616063389
60.0,28.627632421465645,11.578125,10,ok,1,55.85540771484374,0.7503760528259715,0.20313790255986788,0.008257638315441783,233.06414540558657,128.80962653396494,41.36825616063388
60.0,36.813816210732824,12.0,2,above_cap,1,59.99999999999999,0.782883546003887,0.20672268907563024,0.010084033613445379,187.93079126281688,140.9096570784202,41.36825616063389
60.0,45.0,12.0,2,above_cap,1,59.99999999999999,0.7778408512352877,0.1991596638655462,0.010924369747899159,159.93381326376127,158.94283955634995,41.368256160634246
60.0,53.18618378926718,12.0,2,above_cap,1,59.99999999999999,0.7712573117454977,0.19747899159663865,0.012605042016806723,141.5966482024075,186.31999947958695,41.36825616063379
60.0,61.37236757853435,12.0,2,above_cap,1,59.99999999999999,0.7597501259583948,0.19563392107472713,0.016792611251049538,129.332806449886,229.98030420620708,41.368256160633905
60.0,69.55855136780154,12.0,2,above_cap,1,59.99999999999999,0.7497244609852928,0.19411764705882353,0.05630252100840336,121.25594620946585,305.72726035867043,41.36825616063389
120.0,20.441448632198465,6.97265625,10,ok,1,35.086972455000215,0.5476282955954924,0.18934169278996865,0.09216300940438872,313.2869850093437,120.82495119552384,41.36825616063389
120.0,28.627632421465645,7.078125,10,ok,1,36.15645489200864,0.5552321708356306,0.18417721518987343,0.10759493670886076,233.06414540558657,128.80962653396494,41.36825616063388
120.0,36.813816210732824,7.078125,10,ok,1,36.15645489200864,0.5613977853375245,0.17624763108022742,0.11370814908401769,187.93079126281688,140.9096570784202,41.36825616063389
120.0,45.0,6.97265625,10,ok,1,35.086972455000215,0.5605620783103256,0.1559173450219161,0.11646837820914215,159.93381326376127,158.94283955634995,41.368256160634246
120.0,53.18618378926718,6.8671875,10,ok,1,34.03354563422712,0.5674656134062805,0.14383137011779293,0.12337259764414135,141.5966482024075,186.31999947958695,41.36825616063379
120.0,61.37236757853435,6.69140625,10,ok,1,32.31351341346155,0.5640902966537611,0.11973121563836286,0.12828344532681735,129.332806449886,229.98030420620708,41.368256160633905
120.0,69.55855136780154,6.515625,10,ok,1,30.638080126682993,0.5574732603738353,0.09747292418772563,0.1263537906137184,121.25594620946585,305.72726035867043,41.36825616063389
