turn_deg,half_angle_deg,max_speed,n_rollouts,bracket,monotone,a_lat_at_limit,tracking_err,saturation_lo,saturation_hi,alpha_roll,alpha_pitch,maneuverability_I
60.0,20.441448632198465,9.9609375,10,ok,1,41.34178161621093,0.5983339591266364,0.18577981651376146,0.005351681957186544,313.2869850093437,120.82495119552384,41.36825616063389
60.0,28.627632421465645,10.13671875,10,ok,1,42.81377792358398,0.6017102763644497,0.17528957528957528,0.005405405405405406,233.06414540558657,128.80962653396494,41.36825616063388
60.0,36.813816210732824,10.13671875,10,ok,1,42.81377792358398,0.591061734630922,0.1661514683153014,0.005409582689335394,187.93079126281688,140.9096570784202,41.36825616063389
60.0,45.0,10.13671875,10,ok,1,42.81377792358398,0.5807179393815276,0.1637065637065637,0.007722007722007722,159.93381326376127,158.94283955634995,41.368256160634246
60.0,53.18618378926718,10.1015625,10,ok,1,42.51731872558593,0.5669718432505707,0.16191210485736315,0.009252120277563608,141.5966482024075,186.31999947958695,41.36825616063379
60.0,61.37236757853435,10.1015625,10,ok,1,42.51731872558593,0.5582174010502261,0.15959907478797225,0.01079414032382421,129.332806449886,229.98030420620708,41.368256160633905
60.0,69.55855136780154,9.92578125,10,ok,1,41.05047225952148,0.5347047903893708,0.1530221882172915,0.03978576893649579,121.25594620946585,305.72726035867043,41.36825616063389
90.0,20.441448632198465,7.9921875,10,ok,1,37.63874067221967,0.5107792574528871,0.1870748299319728,0.0707482993197279,313.2869850093437,120.82495119552384,41.36825616063389
90.0,28.627632421465645,8.2734375,10,ok,1,40.33441264200188,0.5096846749586024,0.2029186935371786,0.06671299513551077,233.06414540558657,128.80962653396494,41.36825616063388
90.0,36.813816210732824,8.44921875,10,ok,1,42.066546963363194,0.5178378215153039,0.20154494382022473,0.033707865168539325,187.93079126281688,140.9096570784202,41.36825616063389
90.0,45.0,8.484375,10,ok,1,42.41734361288907,0.5234707051403158,0.19298245614035087,0.01263157894736842,159.93381326376127,158.94283955634995,41.368256160634246
90.0,53.18618378926718,8.37890625,10,ok,1,41.36932344956506,0.51361138543228,0.1829608938547486,0.0335195530726257,141.5966482024075,186.31999947958695,41.36825616063379
90.0,61.37236757853435,8.30859375,10,ok,1,40.677926316105065,0.5102372213140163,0.17418459403192227,0.047883414295628035,129.332806449886,229.98030420620708,41.368256160633905
90.0,69.55855136780154,8.09765625,10,ok,1,38.63869319775397,0.49376741445911804,0.15521978021978022,0.04326923076923077,121.25594620946585,305.72726035867043,41.36825616063389
120.0,20.441448632198465,6.97265625,10,ok,1,35.086972455000215,0.5476282955954924,0.18934169278996865,0.09216300940438872,313.2869850093437,120.82495119552384,41.36825616063389
120.0,28.627632421465645,7.078125,10,ok,1,36.15645489200864,0.5552321708356306,0.18417721518987343,0.10759493670886076,233.06414540558657,128.80962653396494,41.36825616063388
120.0,36.813816210732824,7.078125,10,ok,1,36.15645489200864,0.5613977853375245,0.17624763108022742,0.11370814908401769,187.93079126281688,140.9096570784202,41.36825616063389
120.0,45.0,6.97265625,10,ok,1,35.086972455000215,0.5605620783103256,0.1559173450219161,0.11646837820914215,159.93381326376127,158.94283955634995,41.368256160634246
120.0,53.18618378926718,6.8671875,10,ok,1,34.03354563422712,0.5674656134062805,0.14383137011779293,0.12337259764414135,141.5966482024075,186.31999947958695,41.36825616063379
120.0,61.37236757853435,6.69140625,10,ok,1,32.31351341346155,0.5640902966537611,0.11973121563836286,0.12828344532681735,129.332806449886,229.98030420620708,41.368256160633905
120.0,69.55855136780154,6.515625,10,ok,1,30.638080126682993,0.5574732603738353,0.09747292418772563,0.1263537906137184,121.25594620946585,305.72726035867043,41.36825616063389
