turn_deg,half_angle_deg,max_speed,gate_speed_median
60.0,20.441448632198465,9.890625,5.40305881075041
60.0,28.627632421465645,10.0859375,5.479528727532172
60.0,36.813816210732824,10.1640625,5.509959680261677
60.0,45.0,10.1640625,5.509959680261677
60.0,53.18618378926718,10.1640625,5.509959680261677
60.0,61.37236757853435,10.125,5.494764194284276
60.0,69.55855136780154,9.9296875,5.418363543676472
90.0,20.441448632198465,7.9765625,3.762492255623597
90.0,28.627632421465645,8.2890625,3.8738708415221925
90.0,36.813816210732824,8.3671875,3.901366582767805
90.0,45.0,8.25,3.8600524819632245
90.0,53.18618378926718,8.171875,3.832344626884094
90.0,61.37236757853435,8.015625,3.77651798919848
90.0,69.55855136780154,7.859375,3.7204599416099096
120.0,20.441448632198465,6.6484375,2.3094607190649996
120.0,28.627632421465645,6.609375,2.298683445148603
120.0,36.813816210732824,6.53125,2.277041364115984
120.0,45.0,6.4140625,2.244748795568272
120.0,53.18618378926718,6.296875,2.2117723354771095
120.0,61.37236757853435,6.21875,2.189695229484803
120.0,69.55855136780154,6.1796875,2.1786178245945873
