omega_n,zeta,omega_n_att,ratio,max_speed,tracking_err,saturation_lo,n_rollouts,monotone
3.0,1.0,36.0,12.0,7.21875,0.4449884472057446,0.24903225806451612,8,1
4.0,1.0,36.0,9.0,7.5,0.4018066000429902,0.24621461487820934,8,1
4.8,1.0,36.0,7.5,7.5,0.4986494403606299,0.26688524590163937,8,1
6.0,1.0,36.0,6.0,6.75,0.44194650093747717,0.23359901900674432,8,1
